text,position
"Grid-interactive 
operation reduces the life-cycle ownership costs of backup power by 65% for diesel and 63% for 
natural gas.","{'entities': [(70, 82, 'SUSTECH')]}"
"The total life-cycle revenues for both generator types exceed the ownership costs of 
backup power.","{'entities': [(86, 98, 'SUSTECH')]}"
"In this development scenario, 
adding the generator to a supermarket with PV + BESS has less total revenue potential 
($934,000) than a supermarket that does not have PV + BESS ($1,710,000), but there are other 
strong economic incentives to do so, along with the resiliency benefits of backup power.","{'entities': [(287, 299, 'SUSTECH')]}"
Understanding Backup Power System Fuel Choices.,"{'entities': [(14, 26, 'SUSTECH')]}"
"Regarding
the need for a 4000W conditioner, that is me just thinking if I was going to buy something (assuming it is truly needed and effective,
which is debatable) in the power conditioner category that I try to match the max output of the generator in case I want to for example
run the furnace, a fridge, and a sump pump all at the same time and account for start up wattage etc.","{'entities': [(314, 323, 'SUSTECH')]}"
"Fuel Cell Backup Power Unit 
Configuration and Electricity","{'entities': [(10, 22, 'SUSTECH')]}"
"DE-AC36-08GO28308 

 

 

 

 

 

Fuel Cell Backup Power Unit 
Configuration and Electricity","{'entities': [(46, 58, 'SUSTECH')]}"
"This National Renewable Energy Laboratory industry-inspired Laboratory Directed Research 
and Development project evaluates the feasibility and economics of using fuel cell backup power 
systems in cell towers to provide grid services (e.g., balancing, ancillary services, demand 
response).","{'entities': [(173, 185, 'SUSTECH')]}"
"We studied current fuel cell backup power 
locations and regional grid service programs, and reviewed the development approach with 
industry.","{'entities': [(29, 41, 'SUSTECH')]}"
"Cheaper hydrogen sources, low-
cost delivery, and economic storage methods need to be explored to improve the value added 
for fuel cell backup power units providing grid support.","{'entities': [(137, 149, 'SUSTECH')]}"
"The study primarily focuses on how fuel cells can become a significant part of 
telecommunications backup power to reduce system costs, environmental impact, and 
dependence on fossil fuels, while ensuring continuity of reliable electricity and communications 
services for customers.","{'entities': [(99, 111, 'SUSTECH')]}"
"1 
1.2  Fuel Cell Backup Power System Integrated with Cell Towers .....................................................","{'entities': [(18, 30, 'SUSTECH')]}"
"Fuel cell backup power system integrated with a cell tower with renewable (biomass, wind, and 
solar energy) hydrogen supply .................................................................................................","{'entities': [(10, 22, 'SUSTECH')]}"
"ARRA-installed fuel cell backup power locations (to 2013, NREL [1])","{'entities': [(25, 37, 'SUSTECH')]}"
T-Mobile added 300-plus backup power units in southern Florida since 2010 .............................,"{'entities': [(24, 36, 'SUSTECH')]}"
Control algorithm for fuel cell backup power operation with grid support .................................,"{'entities': [(32, 44, 'SUSTECH')]}"
Electricity price by the fuel cell backup power .........................................................................,"{'entities': [(35, 47, 'SUSTECH')]}"
"DOE’s ESIF can be a test base for a fuel cell backup power system integrated with renewable 
power and hydrogen and the ability for grid service [14] ......................................................","{'entities': [(46, 58, 'SUSTECH')]}"
Comparison of Major Types of Fuel Cells Relevant to Telecommunications Backup Power,"{'entities': [(71, 83, 'SUSTECH')]}"
Fuel Cell Backup Power Product by Major Suppliers ....................................................................,"{'entities': [(10, 22, 'SUSTECH')]}"
"One market in which they are especially attractive is 
with telecommunications companies that want many hours of backup power supply to avoid 
prolonged power outages and disruption of service to their customers.","{'entities': [(113, 125, 'SUSTECH')]}"
"Between 2009 and 2012, the U.S. Department of Energy (DOE) supported the installation of 
more than 800 backup power fuel cell systems with American Recovery and Reinvestment Act","{'entities': [(104, 116, 'SUSTECH')]}"
"According to a 2013 cost of ownership analysis [2], fuel cell systems could be and in some cases 
are already cost competitive with incumbent backup power technologies, particularly for long 
runtimes and with incentives.1","{'entities': [(142, 154, 'SUSTECH')]}"
Current deployments are for emergency backup power only.,"{'entities': [(38, 50, 'SUSTECH')]}"
"Then we investigate the conditions and potential value that can be derived from expanding the 
fuel cell backup power capability to provide additional services to the grid.","{'entities': [(105, 117, 'SUSTECH')]}"
"Table 1 compares the advantages and disadvantages of the 
different fuel cells relevant to telecom backup power usage.","{'entities': [(99, 111, 'SUSTECH')]}"
"PEMFCs can start up quickly 
and they rapidly ramp to the rated power; therefore, they represent a viable alternative 
emergency power source to batteries and internal combustion (IC) generators to provide power 
for portable electronics, stationary power, transportation, and, in this project, a backup power 
system for a cell tower.","{'entities': [(297, 309, 'SUSTECH')]}"
Comparison of Major Types of Fuel Cells Relevant to Telecommunications Backup Power,"{'entities': [(71, 83, 'SUSTECH')]}"
"Table 2 compares the advantages and disadvantages of the fuel cell backup power system 
relative to incumbent technologies.","{'entities': [(67, 79, 'SUSTECH')]}"
"However, they have several 
installation and operating issues that prevent their wide adoption for cell tower backup power 
applications.","{'entities': [(110, 122, 'SUSTECH')]}"
"Another option, battery backup power, is 
quiet and easy to install.","{'entities': [(24, 36, 'SUSTECH')]}"
"Comparison of Backup Power Using Batteries, IC Generators, and Fuel Cells for Cell","{'entities': [(14, 26, 'SUSTECH')]}"
"Tower Backup Power [1,2]","{'entities': [(6, 18, 'SUSTECH')]}"
"Also, with long run 
time, PEMFCs for backup power can provide grid services by changing load, while ensuring that 
the critical load is covered.","{'entities': [(38, 50, 'SUSTECH')]}"
"Implementing a backup power system for the cell tower will add costs for telecom companies; 
however, the benefits of reliable cell service can outweigh the increased cost.","{'entities': [(15, 27, 'SUSTECH')]}"
"After a Hurricane 
Katrina recommendations review, a Federal Communications Commission ruling required 
telecom and wireless companies to provide backup power for cell sites and remote telecom 
facilities [5].","{'entities': [(146, 158, 'SUSTECH')]}"
"The backup power system requires extended 
operating hours of 8 to 32 hours (8 hours in the Federal Communications Commission ruling), 
which limits the use of batteries.","{'entities': [(4, 16, 'SUSTECH')]}"
"Continuing efforts to reduce fuel cell cost, optimize system configuration, and 
maximize the fuel cell backup power economic return may further reduce the owner cost.","{'entities': [(104, 116, 'SUSTECH')]}"
"Those 
efforts include measures to reduce operating cost by remote monitoring and to provide grid 
services to increase the economic benefits of the backup power system.","{'entities': [(149, 161, 'SUSTECH')]}"
Table 3 summarizes the technology specifications for their backup power units.,"{'entities': [(59, 71, 'SUSTECH')]}"
Fuel Cell Backup Power Product by Major Suppliers,"{'entities': [(10, 22, 'SUSTECH')]}"
1.2  Fuel Cell Backup Power System Integrated with Cell Towers,"{'entities': [(15, 27, 'SUSTECH')]}"
"Fuel cell systems can provide a reliable source of emergency backup power, particularly for 
mission-critical operations such as telecommunication and data centers, where uninterrupted 
power is essential for operation.","{'entities': [(61, 73, 'SUSTECH')]}"
"Fuel cell systems are used by telecom companies to provide 
backup power for telecom base stations, repeaters, cell towers, and other electronic systems, 
particularly those requiring DC power supply.","{'entities': [(60, 72, 'SUSTECH')]}"
"Fuel cell backup power systems can also address 
the challenges of intermittent grid disruption, power outage, and network interruptions due to 
natural disasters with a cleaner and a more reliable supply of power than incumbent methods.","{'entities': [(10, 22, 'SUSTECH')]}"
"Due to their high efficiency, long run times, reliability, and availability of financial incentives, 
backup power systems are a good application for fuel cells.","{'entities': [(102, 114, 'SUSTECH')]}"
"Figure 1 shows a fuel cell backup power system integrated with a cell tower with renewable 
hydrogen.","{'entities': [(27, 39, 'SUSTECH')]}"
"Fuel cell backup power system integrated with a cell tower with renewable (biomass, 
wind, and solar energy) hydrogen supply","{'entities': [(10, 22, 'SUSTECH')]}"
"The first two project tasks include geographic mapping to identify suitable telecommunication 
areas and regional grid, and investigating the fuel cell backup power deployment strategy for 
notable benefits or particular services in suitable locations.","{'entities': [(152, 164, 'SUSTECH')]}"
"These areas are 
also affected by strong storms and hurricanes, where reliable communications by backup power","{'entities': [(97, 109, 'SUSTECH')]}"
ARRA-installed fuel cell backup power,"{'entities': [(25, 37, 'SUSTECH')]}"
"Some 122 ARRA-funded backup power systems were 
installed in the Federal Emergency Management Agency Modeling Task Force Hurricane Sandy 
impact area.","{'entities': [(21, 33, 'SUSTECH')]}"
"Figure 5 shows the installed backup power systems on the cell tower sites in hurricane-prone 
southern Florida.","{'entities': [(29, 41, 'SUSTECH')]}"
"From this mapped information, cell sites located near the disaster areas would 
benefit from fuel cell backup power systems for providing long-duration, non-interruptible 
service during grid blackouts and emergency power needs.","{'entities': [(103, 115, 'SUSTECH')]}"
"T-Mobile added 300-plus backup power 
units in southern Florida since 2010","{'entities': [(24, 36, 'SUSTECH')]}"
"The installed fuel cell backup power for 
emergency power purposes may under-utilize the fuel cell power generation capability and can 
benefit from the expanded use of the systems for grid needs.","{'entities': [(24, 36, 'SUSTECH')]}"
"We studied the regional grid and pricing policies to identify potential niche markets where fuel 
cell backup power can play a role in grid ancillary service.","{'entities': [(103, 115, 'SUSTECH')]}"
"In 2014, Eichman studied the minimum capacity requirements for bidding demand response 
devices into electricity markets and found that the threshold for the bidding capacity is high 
compared to the size of an individual backup power fuel cell unit.","{'entities': [(222, 234, 'SUSTECH')]}"
"A network of fuel cell backup power with aggregated 
coordination may provide grid service capability.","{'entities': [(23, 35, 'SUSTECH')]}"
"Implementing real-time response may favor 
aggregation of the networked fuel cell backup power to create a virtual power plant that serves 
regional need.","{'entities': [(82, 94, 'SUSTECH')]}"
"We studied backup power for emerging and regulatory needs and then looked at the possibility 
for grid service and the system configuration needs.","{'entities': [(11, 23, 'SUSTECH')]}"
"With respect to Table 4, the backup power for a cell tower can be disconnected from the utility 
and operate in nanogrid mode.","{'entities': [(29, 41, 'SUSTECH')]}"
"The backup power system can participate in energy markets by using the fuel cell to offset 
system power demand.","{'entities': [(4, 16, 'SUSTECH')]}"
"Figure 7 shows the sequence of operation with emergency backup power generation as the 
highest-priority function.","{'entities': [(56, 68, 'SUSTECH')]}"
Control algorithm for fuel cell backup power operation with grid support,"{'entities': [(32, 44, 'SUSTECH')]}"
"Seamless backup power will be 
available to hard-wired customer 
critical loads.","{'entities': [(9, 21, 'SUSTECH')]}"
"the grid and the local backup power supply delivers its own power to the site without any 
interruption or loss in power quality.","{'entities': [(23, 35, 'SUSTECH')]}"
"A network of fuel cell backup power with aggregated coordination is 
considered below.","{'entities': [(23, 35, 'SUSTECH')]}"
"Figure 9 shows a conceptual platform for backup power to be connected into a microgrid and to 
form VPPs through control and communication.","{'entities': [(41, 53, 'SUSTECH')]}"
"Then the backup power generation 
cost is computed and compared to the utility price.","{'entities': [(9, 21, 'SUSTECH')]}"
"If economic benefits can be realized from 
providing grid services, then the control logic allows the backup power unit to provide those 
services.","{'entities': [(102, 114, 'SUSTECH')]}"
"The growth in customers taking advantage of dynamic pricing 
through utilities or system operators can be applied to a broader set of DERs, including fuel cell 
backup power systems.","{'entities': [(161, 173, 'SUSTECH')]}"
"In the 2014 NREL study, 8-hour and 
72-hour runtime scenarios of the fuel cell backup power were examined.","{'entities': [(79, 91, 'SUSTECH')]}"
Electricity price by the fuel cell backup power,"{'entities': [(35, 47, 'SUSTECH')]}"
"Backup power systems are typically designed to be low cost with low 
utilization, a good match for cell tower needs.","{'entities': [(0, 12, 'SUSTECH')]}"
"And the fuel cell systems must perform a system 
health check regularly to ensure availability when emergency backup power is needed.","{'entities': [(110, 122, 'SUSTECH')]}"
"18 

backup power should be limited to providing reserve capacity with limited hours of dispatch or 
for energy markets with high prices.","{'entities': [(6, 18, 'SUSTECH')]}"
"• Networking fuel cell backup power to create a larger dispatchable resource within a

region.","{'entities': [(23, 35, 'SUSTECH')]}"
"J. Kurtz, G. Saur, and S. Sprik, Hydrogen Fuel Cell Performance as Telecommunications

Backup Power in the United States, NREL/","{'entities': [(87, 99, 'SUSTECH')]}"
"J. Kurtz, G. Saur, S. Sprik, and C. Ainscough, Backup Power Cost of Ownership Analysis

and Incumbent Technology Comparison, NREL/TP-5400-60732, 2014,
http://www.nrel.gov/docs/fy14osti/60732.pdf.","{'entities': [(47, 59, 'SUSTECH')]}"
"J. Kurtz, G. Saur, S. Sprik, and C. Ainscough, “Fuel Cell Backup Power Technology
Validation,” presented at Intelec 2012:","{'entities': [(58, 70, 'SUSTECH')]}"
"The model-
generated control algorithm can be used for building or home smart-power production by plug-in 
fuel cell electric vehicles in balance with grid demand and electricity price, and as emergency 
backup power.","{'entities': [(204, 216, 'SUSTECH')]}"
"Some telecom cell towers are located on top of or near buildings that may be integrated with the 
building backup power systems by using quiet, zero-emission fuel cell systems.","{'entities': [(107, 119, 'SUSTECH')]}"
"The fuel 
cell suppliers may consider such an application scenario and design the product for suitable 
usage for microgrid or VPP configurations in a combined system of cell tower and building 
backup power.","{'entities': [(195, 207, 'SUSTECH')]}"
"Scenario 2: Fuel cell backup power system for airport and airport service vehicles powered by 
fuel cells and generating power in the idle peak hours, or other industrial uses.","{'entities': [(22, 34, 'SUSTECH')]}"
"DOE’s ESIF can be a test base for a fuel cell backup power system integrated with 
renewable power and hydrogen and the ability for grid service [14]","{'entities': [(46, 58, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
JOSAM Backwater Valves provide the flood control that is required.,"{'entities': [(6, 22, 'SUSTECH')]}"
"The most frequently used backwater valve is the swing-check,
rotating, self-cleaning disc type.","{'entities': [(25, 40, 'SUSTECH')]}"
"This type of backwater valve is incorporated in certain floor 
drains and traps.","{'entities': [(13, 28, 'SUSTECH')]}"
"This type of backwater valve is intended primarily for 
installation in new construction.","{'entities': [(13, 28, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"Series 67100A Backwater Valve is for use with any 4"" or 6"" No-Hub Drain.","{'entities': [(14, 29, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"JOSAM 67100A Series coated cast iron Backwater Valve, plastic ball-float, elastomer
seat, bronze cage and bottom outlet spigot connection.","{'entities': [(37, 52, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"Flapper type backwater valve provides continuous protection against
sewage backflow into building.","{'entities': [(13, 28, 'SUSTECH')]}"
"JOSAM 67360 Series coated cast iron combination Backwater Valve, straight-through
type, bronze swing-check assembly, bronze manually operated shear-gate with non-rising
stem and hub and spigot connections.","{'entities': [(48, 63, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"Flapper type backwater valve provides continuous protection against
sewage backflow into building.","{'entities': [(13, 28, 'SUSTECH')]}"
"JOSAM 67360-DH Series coated cast iron combination Backwater Valve, straight-
through type, bronze swing-check assembly, bronze manually operated shear-gate
with non-rising stem and hub connections.","{'entities': [(51, 66, 'SUSTECH')]}"
"Flapper type backwater valve provides continuous protection against
sewage backflow into building.","{'entities': [(13, 28, 'SUSTECH')]}"
"JOSAM 67400 Series coated cast iron Backwater Valve, offset type, bronze fixed
swing-check assembly, bolted gasketed cover and no-hub connections.","{'entities': [(36, 51, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"Flapper type backwater valve provides continuous protection against
sewage backflow into building.","{'entities': [(13, 28, 'SUSTECH')]}"
"67500 Series coated cast iron Backwater Valve, offset type, bronze swing-","{'entities': [(30, 45, 'SUSTECH')]}"
"Flapper type backwater valve provides continuous protection against
sewage backflow into building.","{'entities': [(13, 28, 'SUSTECH')]}"
"JOSAM 67600 Series coated cast iron Backwater Valve, offset type, bronze swing-","{'entities': [(36, 51, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"For use at the base of walls in pits or pools, where elevation is limited, requiring a
vertical inlet drain with a back outlet and a flapper type backwater valve to safe-
guard pit equipment or pool from backflow contamination.","{'entities': [(146, 161, 'SUSTECH')]}"
"JOSAM 67650 Series coated cast iron Backwater Valve, pit type, bronze swing-check
assembly, vertical inlet grate and spigot connection.","{'entities': [(36, 51, 'SUSTECH')]}"
-LBV Less Backwater Valve,"{'entities': [(10, 25, 'SUSTECH')]}"
"Series coated cast iron Backwater Valve, terminal type, bronze swing-","{'entities': [(24, 39, 'SUSTECH')]}"
BACKWATER VALVES,"{'entities': [(0, 16, 'SUSTECH')]}"
"JOSAM 67800 Series coated cast iron Backwater Valve, terminal type, bronze swing-","{'entities': [(36, 51, 'SUSTECH')]}"
"Determining if a Waste Backwater Valve is needed

Some homeowners live in flood prone areas.","{'entities': [(23, 38, 'SUSTECH')]}"
"A
sewer backup valve (waste backwater valve) can make the difference between having your
basement flooded knee deep with raw sewage and staying high and dry.","{'entities': [(28, 43, 'SUSTECH')]}"
"Home #1 Does not need a backwater valve because water would drain from the first
upstream sanitary sewer manhole which is lower than the inlet to the drain pipe in this
home's basement.","{'entities': [(24, 39, 'SUSTECH')]}"
sewage backups could occur without a backwater valve.,"{'entities': [(37, 52, 'SUSTECH')]}"
"so this home would definitely require the installation of a
backwater valve.","{'entities': [(60, 75, 'SUSTECH')]}"
"Some building codes now require the installation of a backwater valve no matter where the home is
located in relationship to the first upstream manhole cover.","{'entities': [(54, 69, 'SUSTECH')]}"
"Determining if a Waste Backwater Valve is needed

Home","{'entities': [(23, 38, 'SUSTECH')]}"
Backwater Valve Diagram,"{'entities': [(0, 15, 'SUSTECH')]}"
Backwater Valve Features,"{'entities': [(0, 15, 'SUSTECH')]}"
Backwater Valve Animation,"{'entities': [(0, 15, 'SUSTECH')]}"
Backwater Valve Videos,"{'entities': [(0, 15, 'SUSTECH')]}"
"Frequently Asked Questions

Fullport Backwater Valve Brochure (Adobe Acrobat pdf)","{'entities': [(37, 52, 'SUSTECH')]}"
INSTALLATION TIPS;  how to install backwater valves,"{'entities': [(35, 51, 'SUSTECH')]}"
Termex Backwater Valves,"{'entities': [(7, 23, 'SUSTECH')]}"
Termex Backwater Valve Brochure (Adobe Acrobat pdf),"{'entities': [(7, 22, 'SUSTECH')]}"
Mainline ML-FR4 Backwater Valve (Fio Valve),"{'entities': [(16, 31, 'SUSTECH')]}"
ML-FR4 Mainline Backwater Valve Fio Valve Brochure (Acrobat pdf),"{'entities': [(16, 31, 'SUSTECH')]}"
"Mainline Fullport Backwater Valves offer the right solution for your
sewer backup problems.","{'entities': [(18, 34, 'SUSTECH')]}"
Mainline Backwater Valve,"{'entities': [(9, 24, 'SUSTECH')]}"
Determining if a Waste Backwater Valve is needed,"{'entities': [(23, 38, 'SUSTECH')]}"
"Protect Your Home with a Backwater Valve
from Backwater-Valve.com","{'entities': [(25, 40, 'SUSTECH')]}"
"backwater-valves.com is independently owned and resells products
produced and manufactured by Mainline of Canada and assumes no
liability for the installation of backwater valves and related products.","{'entities': [(162, 178, 'SUSTECH')]}"
"Inspect your valve
frequently; the Backwater Valve through its clear plastic housing top,
and the Adapt-A-Valve, by removing the gate cassette.","{'entities': [(35, 50, 'SUSTECH')]}"
"Pipe end-to-end, the Backwater Valve takes up 12"" of run in your line
and the outlet is 3/4"" LOWER than the inlet, so in just 12"" the level of
the pipe at the outlet side needs to be 3/4"" lower.","{'entities': [(21, 36, 'SUSTECH')]}"
Determining if a Waste Backwater Valve is needed,"{'entities': [(23, 38, 'SUSTECH')]}"
Backwater valves,"{'entities': [(0, 16, 'SUSTECH')]}"
"Increasingly, municipal governments, homeowner insurers and homeowners 
are turning to backwater valves as reliable devices that can be used in 
tandem with other measures to reduce the likelihood of sewage and/or 
storm water backing up into basements of homes.","{'entities': [(87, 103, 'SUSTECH')]}"
"While backwater valves themselves tend not to be particularly complex 
devices, the manner in which they need to be installed can be complicated 
depending on how a home’s plumbing and drainage systems are set up.","{'entities': [(6, 22, 'SUSTECH')]}"
"What’s more, simply having a backwater valve isn’t enough to significantly","{'entities': [(29, 44, 'SUSTECH')]}"
"Second, certain mechanical backwater valves need to be inspected and 
maintained on a regular basis to keep them in working order, as things like 
debris and coagulated cooking fat can impede the raising and lowering of 
the gate that prevents sewage or storm water surcharge into a basement.","{'entities': [(27, 43, 'SUSTECH')]}"
"Backwater valves, and their distant cousins gate valves and inline check valves, 
aren’t particularly new.","{'entities': [(0, 16, 'SUSTECH')]}"
"Unfortunately, so, too, have myths and misinformation about 
backwater valves.","{'entities': [(61, 77, 'SUSTECH')]}"
"This booklet will explain what backwater valves are, what they do, how they 
can fail, and how they should be inspected and maintained.","{'entities': [(31, 47, 'SUSTECH')]}"
What are backwater valves and what do they do?,"{'entities': [(9, 25, 'SUSTECH')]}"
"In recent years, many municipal governments, homeowner insurers and 
homeowners have been turning to the normally open backwater valve to 
prevent backup of wastewater into basements.","{'entities': [(119, 134, 'SUSTECH')]}"
"A backwater valve is a device that is installed on a respective main lateral 
(sanitary and/or storm or combined) in the floor at the foot of the 
basement wall closest to where the lateral exits the house to connect with 
the municipal sewer system.","{'entities': [(2, 17, 'SUSTECH')]}"
"After a thorough plumbing inspection  
by a qualified professional has been  
completed (a very important and highly  
recommended first step) and the  
homeowner has contacted their  
municipal government to find out about the  
rules, regulations and requirements regarding  
the installation of sewage backflow  
prevention devices, the homeowner may  
consider installing a backwater valve.","{'entities': [(378, 393, 'SUSTECH')]}"
"Canada have enacted 
bylaws requiring 
backwater valves on the 
sanitary lateral in new 
construction, but","{'entities': [(39, 55, 'SUSTECH')]}"
"Until recently, numerous Canadian 
municipalities recognized only mainline backwater valves as the sewage 
backflow prevention device of choice, issuing plumbing permits and offering 
incentives only for this type of valve.","{'entities': [(75, 91, 'SUSTECH')]}"
"Backwater valves should be installed 
based on the manufacturer’s","{'entities': [(0, 16, 'SUSTECH')]}"
"Proper placement and installation 
of the backwater valve is extremely 
important.","{'entities': [(42, 57, 'SUSTECH')]}"
"Many municipalities offer 
subsidies to offset the cost of 
installing a backwater valve.","{'entities': [(73, 88, 'SUSTECH')]}"
"In most cases, 
municipalities will require a 
normally open backwater valve.","{'entities': [(61, 76, 'SUSTECH')]}"
"Connection of foundation drains to  
sanitary vs sump pump system","{'entities': [(49, 58, 'SUSTECH')]}"
Typical household backwater valve installations,"{'entities': [(18, 33, 'SUSTECH')]}"
Figure 3 Typical household backwater valve installations,"{'entities': [(27, 42, 'SUSTECH')]}"
"Cost and ease of installing a backwater valve depends on several factors, 
the main one being whether the valve is going into an existing home as a 
retrofit, or whether it is going into a new home.","{'entities': [(30, 45, 'SUSTECH')]}"
"In an existing home, installation of a backwater valve requires breaking up 
portions of the concrete basement floor and cutting a section out of the 
sanitary or combined sewer lateral.","{'entities': [(39, 54, 'SUSTECH')]}"
"In order to get 
the proper downward slope of a minimum two percent (to allow waste 
water to properly exit the house and drain into the municipal system and 
to allow the backwater valve to work properly), it was sometimes necessary 
to break up a fair length of cement floor - often four to five feet, and 
sometimes more.","{'entities': [(172, 187, 'SUSTECH')]}"
Backwater valves and,"{'entities': [(0, 16, 'SUSTECH')]}"
"It is very common to hear a 
backwater valve being called 
a backflow valve, backflow 
preventer or backflow 
prevention device and vice 
versa, but they are very 
different from one another.","{'entities': [(29, 44, 'SUSTECH')]}"
"Where a backwater valve 
is used to describe a device 
designed to prevent sewer 
backup, a backflow preventer 
or backflow prevention","{'entities': [(8, 23, 'SUSTECH')]}"
"Other terms often used 
incorrectly in lieu of 
backwater valve include ‘gate 
valve’ and ‘check valve’.","{'entities': [(48, 63, 'SUSTECH')]}"
"And 
while each is a legitimate term 
describing a particular device, 
none should be confused with 
a backwater valve.","{'entities': [(103, 118, 'SUSTECH')]}"
"When it comes to new construction, 
installation of a backwater valve is 
usually considerably easier and less 
expensive, as the valve would be 
installed prior to the pouring of the 
concrete floor.","{'entities': [(54, 69, 'SUSTECH')]}"
"Regardless of the type of sewer backflow prevention device chosen, the 
homeowner will need the assistance of a licensed plumber to conduct the 
initial plumbing investigation (which will, in part, determine whether the 

9

Different types of backwater valves

Figure 7 (below):","{'entities': [(245, 261, 'SUSTECH')]}"
Mainline backwater valve,"{'entities': [(9, 24, 'SUSTECH')]}"
"Homeowners may consider talking to their 
municipal government to see if they have a list of pre-approved plumbers 
who can install backwater valves.","{'entities': [(132, 148, 'SUSTECH')]}"
"Backwater valves are increasingly 
being recognized for their 
effectiveness in reducing the risk of 
damage from sanitary and storm 
sewer backup, but they are not 
panaceas or silver bullets.","{'entities': [(0, 16, 'SUSTECH')]}"
"According to the manager of 
a municipal backwater valve 
subsidy program in one large 
Canadian city, the staffer 
was called to the home of a 
woman who reported that 
although she had a backwater 
valve in place, her basement 
still experienced sewer backup 
during a heavy rainfall event.","{'entities': [(41, 56, 'SUSTECH')]}"
"Some homes experience damage 
from sanitary and/or storm sewer 
backup even though they have a 
backwater valve in place.","{'entities': [(96, 111, 'SUSTECH')]}"
"In particular, 
if a backwater valve is not properly 
maintained, sanitary waste and/or 
storm water can back up into a home during an extreme rainfall event.","{'entities': [(21, 36, 'SUSTECH')]}"
"In 2011, the City of Ottawa released a study of the effectiveness of 
backwater valves, both of the normally open (usually on the sanitary lateral) 
and normally closed (usually on the storm lateral) variety.","{'entities': [(70, 86, 'SUSTECH')]}"
"The report serves 
as one of the only official third-party sources of information on the subject 
of backwater valve efficacy and failure.","{'entities': [(101, 116, 'SUSTECH')]}"
"Other stories of backwater valve 
failures circulate from time-to-time","{'entities': [(17, 32, 'SUSTECH')]}"
Mainline backwater valve,"{'entities': [(9, 24, 'SUSTECH')]}"
"Out of these known incidents, almost eight percent 
happened in homes where a backwater valve was present on the storm 
sewer lateral.","{'entities': [(78, 93, 'SUSTECH')]}"
"backwater valves in question centred 
around the valve cover,","{'entities': [(0, 16, 'SUSTECH')]}"
"as one third of the backwater valve covers inspected 
were not screwed down tightly or where cross-threaded, resulting in failure 
of the valve.","{'entities': [(20, 35, 'SUSTECH')]}"
